id,kraj_id,lau,nazev
1,1,'CZ0412','Karlovy Vary'
2,2,'CZ0205','Kutná Hora'
3,3,'CZ0311','České Budějovice'
4,4,'CZ0641','Blansko'
5,5,'CZ0523','Náchod'
6,6,'CZ0534','Ústí nad Orlicí'
7,7,'CZ0803','Karviná'
8,5,'CZ0524','Rychnov nad Kněžnou'
9,3,'CZ0314','Písek'
10,8,'CZ0512','Jablonec nad Nisou'
11,7,'CZ0804','Nový Jičín'
12,9,'CZ0713','Prostějov'
13,7,'CZ0801','Bruntál'
14,4,'CZ0645','Hodonín'
15,10,'CZ0633','Pelhřimov'
16,10,'CZ0632','Jihlava'
17,11,'CZ0421','Děčín'
18,1,'CZ0411','Cheb'
19,3,'CZ0315','Prachatice'
20,2,'CZ0209','Praha-východ'
21,9,'CZ0712','Olomouc'
22,5,'CZ0521','Hradec Králové'
23,10,'CZ0634','Třebíč'
24,12,'CZ0722','Uherské Hradiště'
25,4,'CZ0643','Brno-venkov'
26,13,'CZ0321','Domažlice'
27,5,'CZ0522','Jičín'
28,10,'CZ0631','Havlíčkův Brod'
29,2,'CZ0207','Mladá Boleslav'
30,10,'CZ0635','Žďár nad Sázavou'
31,3,'CZ0317','Tábor'
32,6,'CZ0533','Svitavy'
33,3,'CZ0313','Jindřichův Hradec'
34,4,'CZ0647','Znojmo'
35,6,'CZ0532','Pardubice'
36,2,'CZ0204','Kolín'
37,12,'CZ0721','Kroměříž'
38,7,'CZ0802','Frýdek-Místek'
39,5,'CZ0525','Trutnov'
40,3,'CZ0316','Strakonice'
41,4,'CZ0644','Břeclav'
42,2,'CZ0202','Beroun'
43,13,'CZ0325','Plzeň-sever'
44,2,'CZ020C','Rakovník'
45,11,'CZ0425','Most'
46,13,'CZ0322','Klatovy'
47,11,'CZ0423','Litoměřice'
48,7,'CZ0805','Opava'
49,8,'CZ0514','Semily'
50,9,'CZ0711','Jeseník'
51,2,'CZ0203','Kladno'
52,9,'CZ0714','Přerov'
53,12,'CZ0724','Zlín'
54,2,'CZ0201','Benešov'
55,3,'CZ0312','Český Krumlov'
56,13,'CZ0327','Tachov'
57,2,'CZ0208','Nymburk'
58,6,'CZ0531','Chrudim'
59,13,'CZ0326','Rokycany'
60,2,'CZ020B','Příbram'
61,8,'CZ0511','Česká Lípa'
62,8,'CZ0513','Liberec'
63,11,'CZ0422','Chomutov'
64,11,'CZ0426','Teplice'
65,11,'CZ0424','Louny'
66,13,'CZ0324','Plzeň-jih'
67,9,'CZ0715','Šumperk'
68,4,'CZ0646','Vyškov'
69,2,'CZ020A','Praha-západ'
70,12,'CZ0723','Vsetín'
71,4,'CZ0642','Brno-město'
72,1,'CZ0413','Sokolov'
73,2,'CZ0206','Mělník'
74,7,'CZ0806','Ostrava-město'
75,11,'CZ0427','Ústí nad Labem'
76,13,'CZ0323','Plzeň-město'
77,14,'CZ0100','Praha'