Year;ID_Unit;ID_UnitType;RegistrationNumber;UnitName;Location;RegularMembersTo6;RegularMembersTo15;RegularMembersTo18;RegularMembersTo26;RegularMembersFrom26;RegularMembers;MembersTo6;MembersTo15;MembersTo18;MembersTo26;MembersFrom26;Members
2019;24118;stredisko;112.02;středisko Dvojka Praha;Praha 2 - Vinohrady;0;75;16;25;63;179;0;75;16;26;67;184
2019;24131;stredisko;112.31;středisko Polaris Praha;Praha 5 - Zbraslav;0;119;21;26;37;203;0;119;21;26;37;203
2019;24148;stredisko;112.47;středisko Maják Praha;Praha 3;0;91;20;23;49;183;0;91;20;23;49;183
2019;24157;stredisko;112.53;středisko Bratří Mašínů Praha;Praha 9 - Libeň;0;86;7;12;52;157;0;86;7;13;52;158
2019;24168;stredisko;112.99;středisko Arcus Praha;Praha 3 - Žižkov;0;105;5;15;52;177;0;105;5;15;52;177
2019;24176;stredisko;113.04;4. přístav Jana Nerudy Praha;Praha 3 - Žižkov;0;128;15;15;32;190;0;128;15;15;37;195
2019;24102;stredisko;113.05;přístav Pětka Praha;Praha 1;0;70;14;13;45;142;0;70;14;13;45;142
2019;24185;stredisko;113.61;61. středisko Vítkov Praha;Praha 3 - Žižkov;0;88;15;24;34;161;0;88;23;30;35;176
2019;24202;stredisko;114.05;5. středisko Modřany;Praha 4 - Kamýk;0;67;8;8;32;115;0;67;8;9;36;120
2019;24207;stredisko;114.07;7. středisko Blaník Praha;Praha 4;0;490;96;138;54;778;0;490;96;139;54;779
2019;24232;stredisko;114.32;středisko Platan Praha;Praha 4;4;73;6;7;29;119;4;73;6;7;31;121
2019;24239;stredisko;114.34;34. středisko Ostříž Praha;Praha 4 - Záběhlice;9;154;35;24;43;265;9;154;35;24;43;265
2019;24254;stredisko;114.43;středisko Paprsek Praha-Kunratice;Praha 4 - Kunratice;9;50;7;9;10;85;9;50;7;9;11;86
2019;24258;stredisko;114.57;středisko Trilobit Praha;Praha 4 - Braník;1;61;4;10;18;94;1;61;4;10;18;94
2019;24272;stredisko;115.55;středisko 55 Vatra Praha;Praha 5 - Stodůlky;0;33;2;12;15;62;0;33;2;12;15;62
2019;24278;stredisko;115.56;středisko Hiawatha Praha;Praha 5 - Smíchov;2;134;22;25;51;234;2;134;24;27;54;241
2019;24286;stredisko;115.58;středisko Mawadani Praha 5;Praha 6 - Břevnov;1;65;7;22;25;120;1;65;7;22;26;121
2019;24297;stredisko;115.76;středisko 5. květen Radotín;Praha 5 Radotín;5;73;8;11;35;132;5;73;8;11;35;132
2019;24399;stredisko;115.85;středisko Bílý Albatros Praha;Praha 7 - Holešovice;0;79;11;20;23;133;0;79;11;20;24;134
2019;24312;stredisko;116.06;středisko Vočko Praha;Praha 6;0;135;26;20;23;204;0;135;26;20;23;204
2019;24319;stredisko;116.08;středisko Osmička Libčice nad Vltavou;Libčice nad Vltavou;3;31;2;2;11;49;3;31;2;2;11;49
2019;24323;stredisko;116.10;10. středisko Bílá Hora Praha;Praha 6 - Ruzyně;0;115;23;10;32;180;0;115;23;10;32;180
2019;24329;stredisko;116.11;středisko Pplk. Vally Praha;Praha 6 - Vokovice;2;73;11;19;23;128;2;73;11;19;24;129
2019;24338;stredisko;116.18;18. středisko Kruh Praha;Praha 6 - Dejvice;0;71;12;32;66;181;0;71;12;32;66;181
2019;24344;stredisko;116.22;středisko Šipka Praha;Praha 6 - Dejvice;7;141;33;38;26;245;7;141;33;38;26;245
2019;24351;stredisko;116.30;středisko Jiskra Praha;Praha 6;5;45;0;5;28;83;5;45;0;5;28;83
2019;24357;stredisko;116.33;středisko Bílý los Praha;Praha 6;2;131;20;21;23;197;2;131;20;21;23;197
2019;24361;stredisko;116.73;středisko Javor Praha;Praha 6 - Dejvice;0;52;18;12;43;125;0;52;18;12;43;125
2019;24367;stredisko;116.74;středisko Střelka Kralupy nad Vltavou;Kralupy nad Vltavou;12;89;8;19;33;161;12;89;8;19;33;161
2019;24375;stredisko;116.81;středisko Lípa Roztoky;Roztoky u Prahy;4;105;13;14;36;172;4;105;13;14;36;172
2019;24404;stredisko;118.24;středisko 24 Sever Praha;Praha 8 - Kobylisy;4;80;13;18;36;151;4;80;13;18;36;151
2019;24392;stredisko;118.39;středisko Vatra Praha;Praha 7 - Holešovice;10;37;2;0;15;64;10;37;2;0;15;64
2019;28790;stredisko;118.42;středisko Ibis Odolena Voda;Odolena Voda;0;29;0;1;5;35;0;29;0;1;8;38
2019;24415;stredisko;118.45;středisko Silmaril Praha;Praha 7;2;58;4;8;24;96;2;58;4;8;26;98
2019;24419;stredisko;118.46;středisko Sfinx Praha;Praha 8 - Karlín;0;45;10;12;11;78;0;45;10;12;11;78
2019;24423;stredisko;118.52;středisko Stopaři Praha;Praha 8 - Bohnice;10;116;29;21;13;189;10;116;29;21;13;189
2019;24435;stredisko;118.88;středisko 88 Radost Praha;Praha 8 - Kobylisy;0;67;7;23;43;140;0;67;7;23;43;140
2019;24443;stredisko;119.17;středisko Athabaska Praha;Praha 9 - Čakovice;10;97;11;17;38;173;10;97;11;18;39;175
2019;24453;stredisko;119.23;středisko Douglaska Praha;Praha 21 - Újezd nad Lesy;3;99;8;15;10;135;3;99;8;15;10;135
2019;24458;stredisko;119.27;středisko Oheň Horní Počernice;Praha 9 - Horní Počernice;0;169;36;65;30;300;0;169;36;66;30;301
2019;24464;stredisko;119.67;středisko Prosek Praha;Praha 9 - Prosek;5;93;12;13;62;185;5;93;12;13;65;188
2019;24470;stredisko;119.84;středisko Kyje Praha;Praha 9 - Kyje;0;62;6;9;13;90;0;62;6;9;13;90
2019;24477;stredisko;11A.10;středisko STOVKA Praha;Praha 10 - Vršovice;0;92;7;14;29;142;0;92;7;14;29;142
2019;24483;stredisko;11A.20;středisko Pasát Praha;Praha 4 - Háje;0;62;5;4;8;79;0;62;5;4;8;79
2019;24491;stredisko;11A.35;středisko J. Rady Praha;Praha 4 - Chodov;0;76;5;12;34;127;0;76;5;12;34;127
2019;24502;stredisko;11A.50;středisko Sova Praha;Praha 10 - Strašnice;1;40;6;8;10;65;1;40;6;8;10;65
2019;24510;stredisko;11A.77;středisko 77 ROD SOVY Praha;Praha 10;7;138;24;24;62;255;7;138;24;24;62;255
2019;24522;stredisko;11A.92;středisko Šípů Praha;Praha 10 - Hostivař;0;93;25;14;33;165;0;93;25;14;34;166
2019;24536;stredisko;11A.93;středisko 93 Praha;Praha 6 - Střešovice;0;46;3;5;11;65;0;46;3;5;11;65
2019;24540;stredisko;11A.96;středisko Scarabeus Praha;Praha 10 - Strašnice;6;34;9;11;24;84;6;35;10;12;24;87
2019;24097;stredisko;211.01;středisko Fr. Konáše Benešov;Divišov;2;107;19;14;22;164;2;107;19;14;22;164
2019;23570;stredisko;211.02;středisko Vlašim;Vlašim;1;62;9;9;33;114;1;62;9;9;34;115
2019;23576;stredisko;211.03;středisko Kamenice;Kamenice;5;132;15;18;30;200;5;132;15;18;30;200
2019;23582;stredisko;211.05;středisko Úsvit Votice;Votice;0;54;6;5;34;99;0;54;6;5;34;99
2019;23588;stredisko;212.01;středisko 01 Beroun;Beroun;1;102;9;14;35;161;1;102;9;14;35;161
2019;23597;stredisko;212.03;středisko 03 Králův Dvůr;Králův Dvůr;1;25;3;3;15;47;1;25;3;3;15;47
2019;23603;stredisko;212.04;středisko Radost a Naděje Beroun;Beroun 1;12;105;21;23;29;190;12;105;21;23;29;190
2019;23616;stredisko;212.07;středisko Balvan Rudná;Rudná;0;79;27;13;51;170;0;79;27;13;51;170
2019;23621;stredisko;212.08;středisko 08 Mořina;Mořina;1;88;9;20;10;128;1;88;9;20;10;128
2019;23630;stredisko;212.10;středisko Mušketýři Nové Strašecí;Nové Strašecí;0;63;13;15;19;110;0;63;13;15;19;110
2019;23644;stredisko;213.01;středisko Orion Kladno;Kladno;4;126;27;32;45;234;4;127;27;32;47;237
2019;23653;stredisko;213.02;středisko Stopa Kladno;Kladno 1;1;69;2;2;12;86;1;69;2;2;12;86
2019;23657;stredisko;213.03;středisko Stráž Lidic Buštěhrad;Buštěhrad;0;82;5;19;25;131;0;82;5;19;25;131
2019;23666;stredisko;213.04;středisko Mír Libušín;Libušín;12;43;6;6;32;99;12;43;6;6;32;99
2019;23672;stredisko;213.05;středisko Modrý Kruh Slaný;Slaný;8;92;12;17;18;147;8;92;12;17;18;147
2019;23681;stredisko;214.01;1. středisko Kolín;Kolín;9;73;10;16;32;140;9;73;10;16;32;140
2019;23689;stredisko;214.02;přístav Poutníci Kolín;Kolín 5;5;58;7;12;17;99;5;58;7;12;17;99
2019;23698;stredisko;214.04;středisko Starý Kolín;Starý Kolín;1;23;4;4;11;43;1;23;4;4;11;43
2019;23702;stredisko;214.05;středisko Červené Pečky;Červené Pečky;1;158;26;25;38;248;1;158;26;25;38;248
2019;23715;stredisko;214.07;středisko Ing. Ládi Nováka Český Brod;Český Brod;1;74;17;25;30;147;1;74;17;25;30;147
2019;23721;stredisko;214.09;přístav Slanečci Kolín;Kolín 2;4;41;7;9;20;81;4;41;7;9;21;82
2019;23729;stredisko;214.11;středisko Kouřim;Kouřim;3;44;7;20;22;96;3;44;7;20;22;96
2019;23737;stredisko;214.12;středisko Modrá želva Ratboř;Ratboř;0;52;15;10;28;105;0;52;15;10;28;105
2019;23746;stredisko;214.14;středisko Psohlavci Český Brod;Český Brod;6;127;17;14;22;186;6;127;17;14;22;186
2019;27138;stredisko;214.15;středisko Datel Kostelec nad Černými lesy;Kostelec nad Černými lesy;3;74;9;3;20;109;3;74;9;3;20;109
2019;23752;stredisko;214.19;středisko Plaňany;Plaňany;0;63;13;10;40;126;0;63;13;10;40;126
2019;23760;stredisko;215.01;středisko Kutná Hora;Kutná Hora 1;10;106;19;20;42;197;10;106;19;20;42;197
2019;23766;stredisko;215.02;středisko Čáslav;Čáslav;19;56;7;10;11;103;19;56;8;10;11;104
2019;23771;stredisko;215.04;přístav Dobré naděje Kutná Hora;Kutná Hora 1;12;40;7;8;22;89;12;41;7;8;22;90
2019;23777;stredisko;215.05;středisko Vrdy - Bučice;Vrdy - Dolní Bučice;0;30;4;8;41;83;0;30;4;8;41;83
2019;23783;stredisko;215.06;středisko Jana Roháče z Dubé a na Sioně Uhlířské Janovice;Uhlířské Janovice;6;55;1;4;22;88;6;55;1;4;22;88
2019;23789;stredisko;215.07;středisko Doubrava Ronov nad Doubravou;Ronov nad Doubravou;2;25;2;3;9;41;2;25;2;3;9;41
2019;23794;stredisko;216.01;středisko Mělník;Mělník 1;0;41;2;7;11;61;0;41;2;7;11;61
2019;23801;stredisko;216.03;středisko Kostelec nad Labem;Kostelec nad Labem;9;50;5;4;21;89;9;50;5;4;21;89
2019;23807;stredisko;216.04;středisko Lišák Neratovice;Neratovice;7;111;15;20;13;166;7;111;15;20;13;166
2019;23814;stredisko;216.07;přístav Modrá kotva Liběchov;Liběchov;4;26;3;3;18;54;4;26;3;3;18;54
2019;23821;stredisko;216.08;přístav Neratovice;Neratovice;0;63;14;18;43;138;0;63;14;18;43;138
2019;23829;stredisko;217.01;středisko Dakota Mladá Boleslav;Mladá Boleslav;0;48;7;9;11;75;0;48;7;9;11;75
2019;23837;stredisko;217.02;středisko Povodeň Benátky nad Jizerou;Benátky nad Jizerou 1;12;110;18;14;24;178;12;110;18;14;24;178
2019;23852;stredisko;217.08;středisko Mnichovo Hradiště;Mnichovo Hradiště;2;80;27;16;15;140;2;80;27;16;15;140
2019;23858;stredisko;217.10;přístav Mladá Boleslav;Mladá Boleslav;2;17;5;2;14;40;2;17;5;2;14;40
2019;23862;stredisko;217.11;středisko Svornost Bělá pod Bezdězem;Bělá pod Bezdězem;0;45;5;5;23;78;0;45;5;5;23;78
2019;23867;stredisko;218.01;středisko Cefeus Nymburk;Nymburk;0;57;2;13;16;88;0;57;2;13;16;88
2019;23873;stredisko;218.02;přístav Modrá flotila Nymburk;Nymburk 2;3;79;10;14;23;129;3;79;10;14;24;130
2019;23880;stredisko;218.03;středisko Lysá nad Labem;Lysá nad Labem;2;125;9;10;22;168;2;125;9;10;22;168
2019;23886;stredisko;218.04;středisko Městec Králové;Městec Králové;13;60;6;8;36;123;13;60;6;8;36;123
2019;23895;stredisko;218.07;středisko Krále Jiřího Poděbrady;Poděbrady 1;1;64;5;9;44;123;1;64;5;9;44;123
2019;23906;stredisko;218.09;středisko Sadská;Sadská;0;17;9;2;12;40;0;17;9;2;12;40
2019;23913;stredisko;218.10;středisko Krahujec Nymburk;Nymburk 2;0;70;15;19;30;134;0;70;15;19;30;134
2019;23920;stredisko;219.01;středisko VJAS Brandýs n. L.;Brandýs nad Labem;7;62;10;0;19;98;7;62;10;0;19;98
2019;23927;stredisko;219.02;středisko Br. Fandy Antoše Jirny;Jirny;1;58;8;9;19;95;1;58;8;9;19;95
2019;23931;stredisko;219.03;středisko Havran Klecany;Klecany;0;78;19;11;26;134;0;78;19;11;27;135
2019;23936;stredisko;219.04;středisko Willi Líbeznice;Líbeznice;2;126;20;21;29;198;2;126;20;21;31;200
2019;23945;stredisko;219.05;středisko Čelákovice;Čelákovice;0;58;17;16;15;106;0;58;17;16;15;106
2019;23951;stredisko;219.06;středisko Lípa Říčany;Říčany;15;184;26;24;75;324;15;184;26;24;77;326
2019;23961;stredisko;219.08;středisko Jiřího Bubáka Úvaly;Úvaly;0;66;16;15;15;112;0;66;16;15;15;112
2019;23967;stredisko;219.09;středisko Stará Boleslav;Stará Boleslav;12;87;21;7;15;142;12;87;21;7;15;142
2019;23973;stredisko;219.10;přístav RETRA Brandýs nad Labem;Předměřice nad Jizerou;1;46;7;7;13;74;1;46;7;7;13;74
2019;23978;stredisko;219.11;středisko Zápy;Zápy, pošta Brandýs nad Labem;0;47;5;8;5;65;0;47;5;8;5;65
2019;23988;stredisko;21A.01;středisko Skalka Mníšek pod Brdy;Mníšek pod Brdy;8;79;13;11;15;126;8;79;13;11;15;126
2019;23993;stredisko;21A.02;středisko Lesní Moudrost Dobřichovice;Dobřichovice;1;85;22;17;9;134;1;85;22;17;9;134
2019;23999;stredisko;21A.06;středisko Vltava Vrané nad Vltavou;Vrané nad Vltavou;0;68;14;6;21;109;0;72;16;6;22;116
2019;24006;stredisko;21A.07;přístav Dub Všenory;Všenory;0;22;6;4;5;37;0;22;6;4;5;37
2019;24010;stredisko;21A.08;středisko Uragan Zbraslav;Praha Zbraslav;0;143;25;21;45;234;0;143;25;24;58;250
2019;24027;stredisko;21A.13;středisko Černošice;252 28 Černošice;0;60;20;18;10;108;0;60;20;18;10;108
2019;24076;stredisko;21B.01;středisko Hiawatha Příbram;Příbram VII;12;137;17;18;32;216;12;137;17;18;32;216
2019;24046;stredisko;21B.02;středisko Clan Hiawatha Příbram;Příbram;5;39;18;16;34;112;5;39;18;16;34;112
2019;24064;stredisko;21B.04;středisko Rožmitál p. Tř.;Rožmitál p. Tř.;0;80;16;14;31;141;0;80;16;14;31;141
2019;24098;stredisko;21B.07;středisko Sedlčany;Sedlčany;1;48;6;11;20;86;1;48;6;11;20;86
2019;28864;stredisko;21B.08;středisko prof. Oliče Dobříš;Dobříš;0;150;10;17;25;202;0;150;10;17;25;202
2019;26148;stredisko;310.31;středisko Zlatá Růže Jindřichův Hradec;Jindřichův Hradec;1;104;12;21;49;187;1;104;12;21;49;187
2019;26163;stredisko;310.32;středisko Rožmberská růže Třeboň;Třeboň;1;88;8;12;27;136;1;88;8;12;27;136
2019;26314;stredisko;310.41;středisko Gáhál Písek;Písek;4;51;9;21;25;110;4;51;9;21;25;110
2019;26073;stredisko;311.01;středisko Zlatá stezka Prachatice;Prachatice;3;48;4;3;12;70;3;48;4;3;12;70
2019;26079;stredisko;311.02;středisko Vimperk;Horní Vltavice;0;28;8;6;9;51;0;28;8;6;9;51
2019;26085;stredisko;311.03;středisko Walden České Budějovice;České Budejovice;1;224;58;66;82;431;1;224;58;66;82;431
2019;26098;stredisko;311.04;středisko VAVÉHA České Budějovice;České Budějovice;6;318;36;56;70;486;6;318;36;56;71;487
2019;26110;stredisko;311.07;středisko Týn nad Vltavou;Týn nad Vltavou;0;47;11;10;19;87;0;47;11;10;19;87
2019;26115;stredisko;311.13;středisko Jantar Kaplice;Kaplice;0;6;1;3;15;25;0;6;1;3;15;25
2019;26140;stredisko;312.06;středisko Pod Kletí Holubov;Holubov;5;178;20;27;65;295;5;178;20;27;65;295
2019;26169;stredisko;313.03;přístav Dačice;Dačice;0;13;2;0;7;22;0;13;2;0;7;22
2019;26173;stredisko;313.04;středisko Slavonice;Slavonice;0;28;3;0;8;39;0;28;3;0;9;40
2019;26177;stredisko;313.08;středisko 13 klíčů Lomnice nad Lužnicí;Lomnice nad Lužnicí;2;45;2;11;15;75;2;45;2;11;15;75
2019;26183;stredisko;313.13;středisko Fidelis et Fortis Kamenice nad Lipou;Kamenice nad Lipou;0;67;10;17;22;116;0;68;10;17;23;118
2019;26194;stredisko;314.01;středisko Šipka Písek;Písek;0;67;6;12;47;132;0;67;6;12;47;132
2019;26203;stredisko;314.02;středisko Oheň života Písek;Písek;0;50;15;4;18;87;0;50;15;4;18;87
2019;26210;stredisko;314.03;středisko Stínadla Písek;Písek;0;50;10;10;13;83;0;50;10;10;13;83
2019;26215;stredisko;314.07;středisko Sedmička Milevsko;Milevsko;2;56;14;17;26;115;2;56;14;17;26;115
2019;26220;stredisko;314.08;středisko Blanice Protivín;Protivín;5;46;6;7;24;88;5;46;6;7;24;88
2019;26231;stredisko;316.01;středisko Strakonice;Strakonice;4;85;9;11;41;150;4;85;9;11;41;150
2019;26241;stredisko;316.02;středisko RNDr. Rudolfa Plajnera Volyně;Volyně;3;58;4;18;20;103;3;58;4;18;20;103
2019;26248;stredisko;316.04;středisko Vodňany;Vodňany;0;57;6;12;21;96;0;57;6;12;21;96
2019;26253;stredisko;317.01;středisko Kalich Tábor;Tábor;0;218;30;49;63;360;0;218;30;51;63;362
2019;26265;stredisko;317.03;středisko Černá růže Sezimovo Ústí;Sezimovo Ústí;6;65;9;10;21;111;6;65;9;10;21;111
2019;26271;stredisko;317.04;středisko Bechyně;Bechyně;0;19;1;1;16;37;0;19;1;1;16;37
2019;26276;stredisko;317.05;středisko Racek Veselí nad Lužnicí;Veselí nad Lužnicí 1;1;50;1;2;15;69;1;50;1;2;15;69
2019;26283;stredisko;317.07;středisko Borotín;Borotín;2;19;9;6;14;50;2;19;9;6;14;50
2019;26287;stredisko;317.09;středisko Planá nad Lužnicí;Planá nad Lužnicí;4;61;10;4;20;99;4;61;10;4;20;99
2019;26300;stredisko;317.13;přístav Třináctka Opařany;Opařany;1;100;9;19;32;161;1;100;9;19;32;161
2019;25342;stredisko;321.01;středisko Jiřinky Paroubkové Domažlice;Domažlice;6;81;12;24;51;174;6;81;12;24;51;174
2019;25348;stredisko;321.03;středisko A.B.S. Holýšov;Holýšov;0;71;15;13;23;122;0;71;15;13;23;122
2019;25352;stredisko;321.05;středisko Lípa Prapořiště;Kdyně;2;47;3;2;17;71;2;47;3;2;17;71
2019;25532;stredisko;321.07;středisko Tajfun Tachov;Tachov 1;0;45;7;0;14;66;0;45;7;0;14;66
2019;25356;stredisko;322.01;středisko Královák Klatovy;Klatovy;0;148;12;18;38;216;0;148;12;18;38;216
2019;25366;stredisko;322.02;středisko Prácheň;Horažďovice;1;45;8;18;33;105;1;45;8;18;33;105
2019;25370;stredisko;322.03;středisko Vydří stopa Sušice;Sušice;15;127;23;29;31;225;15;127;23;29;31;225
2019;25381;stredisko;322.04;středisko Jestřáb Pačejov;Pačejov;1;23;2;5;19;50;1;23;2;5;19;50
2019;25385;stredisko;322.05;středisko Javor Klatovy;Klatovy;1;32;10;8;29;80;1;32;10;8;29;80
2019;25395;stredisko;323.01;středisko Jožky Knappa Plzeň;Plzeň 1;14;128;25;19;60;246;14;128;25;19;61;247
2019;25402;stredisko;323.02;středisko Stopa Plzeň;Plzeň 1;3;216;15;25;47;306;3;217;15;25;49;309
